ID,Type,Owner,Business rule,Case study anchor,,,,,,,,
BR-01,Must,P1,"Medical Secretaries may check whether a referral is complete and request missing information, but must not assess clinical suitability or decide whether the referral should be accepted.","""Medical Secretaries may identify missing information... not permitted to assess clinical suitability""",,,,,,,,
BR-02,Must,P1,"Once completeness checks are finished, the referral must be passed to the appropriate Consultant for clinical review.","""referral is passed to the appropriate Consultant for clinical review""",,,,,,,,
BR-03,Must,P1,The Consultant's decision (accept / reject / request further information / redirect) must be recorded together with the reason for the decision and the identity of the person making it.,"""The reason for the decision and the identity of the person making it must be recorded""",,,,,,,,
BR-04,Must,P1,A New Patient Appointment may only be arranged after an authorised Consultant has accepted the referral.,"""A New Patient Appointment may only be arranged after an authorised Consultant has accepted the referral""",,,,,,,,
BR-05,Must,P1,A Treatment Booking Request that has not been completed and authorised by an appropriate clinical professional must not be processed by administrative staff.,"""A request that has not been completed and authorised... must not be processed by administrative staff""",,,,,,,,
BR-06,Must,P1,"Decisions on whether treatment should continue, be delayed or be changed following an inter-cycle clinical review are clinical decisions only; they cannot be made by the Treatment Bookings Team, the Finance Team or any other administrative employee.","""These are clinical decisions and cannot be made by the Treatment Bookings Team, Finance Team or any other administrative employee""",,,,,,,,
BR-07,Must,P1,"Treatment plan changes must be submitted through the system as an authorised Treatment Modification Request; requests made only by email, telephone or informal communication must not be processed.","""Requests made only by email, telephone or informal communication must not be processed""",,,,,,,,
BR-08,Must,P1,"Where treatment is urgently postponed for patient safety, the responsible clinician must subsequently record and authorise the decision retrospectively.","""system must also support urgent situations... responsible clinician subsequently records and authorises the decision""",,,,,,,,
BR-09,Must,P1 ※ P3,"Any treatment modification that affects an existing charge, funding approval or completed payment must be referred to the Finance Team for review.","""Any treatment modification that affects an existing charge... must also be referred to the Finance Team""",,,,,,,,
BR-10,Must,P2,"Appointments must be identified using the hospital's external scheduling service, with the result written back to the system.","""identify an appropriate appointment using the hospital's external scheduling service""",,,,,,,,
BR-11,Must,P2,"Patients are notified by letter; where the appointment is due to take place within the following two weeks, the patient must also be contacted by telephone.","""if the appointment is due to take place within the following two weeks, the patient must also be contacted by telephone""",,,,,,,,
BR-12,Must,P2,"Every contact attempt and its outcome (unanswered, incorrect number, alternative requested) must be recorded.","""Each contact attempt and its outcome must be recorded""",,,,,,,,
BR-13,Must,P2,"Where an external service is unavailable, the booking must remain pending, the responsible team must be notified and subsequent attempts recorded, without creating duplicate appointments.","""booking must remain pending... without creating duplicate appointments""",,,,,,,,
BR-14,Must,P3,"Before a treatment appointment can be confirmed, the system must determine whether the treatment is funded by the hospital, covered by an approved insurer or funding organisation, or requires payment by the patient.","""system must determine whether the patient's treatment is funded by the hospital, covered by an approved insurer... or requires payment by the patient""",,,,,,,,
BR-15,Must,P3,"Where funding approval is required, the Finance Team must record the responsible funding organisation, the authorisation reference, the approved amount and any limitations.","""Finance Team must record the responsible funding organisation, authorisation reference, approved amount and any limitations""",,,,,,,,
BR-16,Must,P3,The system must not store the patient's complete card information or other unnecessary financial details.,"""must not store the patient's complete card information or other unnecessary financial details""",,,,,,,,
BR-17,Should,P3,"An appointment requiring advance payment must not normally be confirmed until the payment has been successfully completed, or an authorised exemption, funding approval or payment arrangement has been recorded.","""must not normally be confirmed until the payment has been successfully completed, or an authorised exemption, funding approval or payment arrangement has been recorded""",,,,,,,,
BR-18,Must,P3,"Declined, cancelled, duplicated or incomplete payments must notify the patient and the responsible administrative team; a further payment attempt may be allowed but must not create a duplicate booking or charge the patient more than once.","""allow another payment attempt without creating a duplicate booking or charging the patient more than once""",,,,,,,,
BR-19,Must,P3,"Where the external PSP has taken payment but the confirmation was not returned because of a communication failure, the transaction must be marked for investigation rather than automatically requesting another payment.","""marked for investigation rather than automatically requesting another payment""",,,,,,,,
